Date,Time,LogType,CurrentStatus,LatchedStatus,GeneralStatus,ProductNumber,BPMSet,TargetWeight,FullBagCount,TotalDumpWeight,IF5_CurrentStatus,IF5_WarningStatus,IF5_HopperLevel,IF5_TotalBase,IF5_TotalDry,IF5_TotalLIS,IF5_Total,IF5_DryPercent,IF5_OilPercent,IF5_LISPercent,IF5_WC_ConversionFactor
18/06/2021,06:06:14,T,300,12,3,1,50,151,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:06:45,T,300,12,3,1,50,151,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:07:03,S,600,12,1,1,50,151,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:07:05,S,650,650,2,1,50,151,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:07:36,T,650,650,2,1,50,151,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:08:07,T,650,650,2,1,50,151,2,302,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:08:37,T,650,650,2,1,50,151,2,302,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:09:08,T,650,650,2,1,50,151,2,302,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:09:39,T,650,650,2,1,50,151,6,907,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:10:10,T,650,650,2,1,50,151,6,907,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:10:41,T,650,650,2,1,50,151,7,1058,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:11:01,S,692,650,3,1,50,151,7,1058,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:11:03,S,190,12,3,1,50,151,7,1058,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:11:34,T,190,12,3,1,50,151,7,1058,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:12:05,T,190,12,3,1,50,151,7,1058,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:12:13,S,191,12,3,1,50,151,7,1058,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:12:17,S,650,650,1,1,50,151,8,1360,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:12:21,S,692,12,3,1,50,151,9,1511,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:12:25,S,190,12,3,1,50,151,9,1511,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:12:56,T,190,12,3,1,50,151,9,1511,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:13:27,T,190,12,3,1,50,151,9,1511,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:13:31,S,191,12,3,1,50,151,9,1511,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:13:35,S,650,650,1,1,50,151,10,1662,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:14:06,T,650,650,1,1,50,151,36,5590,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:14:37,T,650,650,1,1,50,151,62,9518,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:14:49,S,692,650,3,1,50,151,70,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:14:51,S,300,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:15:22,T,300,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:15:32,S,550,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:15:42,S,300,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:15:51,S,450,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:15:53,S,300,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:15:55,S,450,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:15:57,S,300,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:16:25,S,550,300,3,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:16:32,S,600,300,1,1,50,151,71,10726,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:16:38,S,650,650,1,1,50,151,71,10877,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:17:09,T,650,650,1,1,50,151,96,14653,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:17:39,T,650,650,1,1,50,151,121,18580,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:17:58,S,12,12,3,1,50,151,136,20544,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:18:00,S,650,650,1,1,50,151,136,20544,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:18:31,T,650,650,1,1,50,151,159,24170,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:19:01,T,650,650,1,1,50,151,184,27947,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:19:32,T,650,650,1,1,50,151,210,31875,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:20:03,T,650,650,1,1,50,151,236,35802,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:20:34,T,650,650,1,1,50,151,261,39578,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:21:05,T,650,650,1,1,50,151,287,43505,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:21:35,T,650,650,1,1,50,151,313,47432,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:22:06,T,650,650,1,1,50,151,338,51207,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:22:20,S,190,12,3,1,50,151,348,52718,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:22:51,T,190,12,3,1,50,151,348,52718,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:23:12,S,191,12,3,1,50,151,348,52718,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:23:16,S,650,650,1,1,50,151,350,53020,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:23:47,T,650,650,1,1,50,151,375,56796,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:24:17,T,650,650,1,1,50,151,401,60723,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:24:48,T,650,650,1,1,50,151,427,64651,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:25:19,T,650,650,1,1,50,151,451,68275,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:25:50,T,650,650,1,1,50,151,477,72202,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:26:21,T,650,650,1,1,50,151,502,75978,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:26:51,T,650,650,1,1,50,151,523,78998,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:27:22,T,650,650,1,1,50,151,547,82774,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:27:53,T,650,650,1,1,50,151,567,85794,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:28:24,T,650,650,1,1,50,151,589,89117,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:28:55,T,650,650,1,1,50,151,609,91987,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:29:25,T,650,650,1,1,50,151,632,95612,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:29:56,T,650,650,1,1,50,151,650,98331,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:30:27,T,650,650,1,1,50,151,668,101052,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:30:58,T,650,650,1,1,50,151,684,103468,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:31:29,T,650,650,1,1,50,151,702,106187,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:31:59,T,650,650,1,1,50,151,723,109358,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:32:30,T,650,650,2,1,50,151,738,111473,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:33:01,T,650,650,1,1,50,151,753,113892,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:33:32,T,650,650,1,1,50,151,768,116158,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:34:02,T,650,650,1,1,50,151,787,118876,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:34:33,T,650,650,2,1,50,151,803,121292,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:35:04,T,650,650,1,1,50,151,823,124313,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:35:35,T,650,650,1,1,50,151,845,127787,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:36:06,T,650,650,1,1,50,151,865,130958,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:36:36,T,650,650,1,1,50,151,884,133678,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:37:07,T,650,650,1,1,50,151,901,136246,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:37:38,T,650,650,1,1,50,151,923,139418,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:38:09,T,650,650,2,1,50,151,929,140324,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:38:40,T,650,650,1,1,50,151,943,142589,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:39:10,T,650,650,2,1,50,151,957,144553,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:39:41,T,650,650,2,1,50,151,973,147124,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:40:12,T,650,650,2,1,50,151,985,148786,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:40:43,T,650,650,2,1,50,151,995,150296,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:41:13,T,650,650,1,1,50,151,1010,152714,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:41:44,T,650,650,1,1,50,151,1019,154073,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:42:15,T,650,650,1,1,50,151,1031,155889,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:42:46,T,650,650,1,1,50,151,1041,157400,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:43:17,T,650,650,2,1,50,151,1054,159212,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:43:47,T,650,650,1,1,50,151,1067,161177,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:44:18,T,650,650,1,1,50,151,1082,163444,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:44:49,T,650,650,2,1,50,151,1087,164199,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:45:20,T,650,650,1,1,50,151,1100,166322,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:45:51,T,650,650,1,1,50,151,1113,168287,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:46:21,T,650,650,2,1,50,151,1133,171162,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:46:52,T,650,650,2,1,50,151,1152,174032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:47:23,T,650,650,1,1,50,151,1168,176450,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:47:54,T,650,650,1,1,50,151,1189,179622,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:48:24,T,650,650,1,1,50,151,1209,182796,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:48:55,T,650,650,1,1,50,151,1230,185968,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:49:26,T,650,650,1,1,50,151,1244,188084,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:49:57,T,650,650,1,1,50,151,1262,190804,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:50:28,T,650,650,1,1,50,151,1268,191562,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:50:58,T,650,650,1,1,50,151,1290,194888,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:51:29,T,650,650,1,1,50,151,1311,198211,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:52:00,T,650,650,1,1,50,151,1331,201232,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:52:31,T,650,650,1,1,50,151,1351,204404,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:53:02,T,650,650,2,1,50,151,1365,206368,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:53:32,T,650,650,2,1,50,151,1384,209240,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:54:03,T,650,650,1,1,50,151,1405,212563,0,0,0,0,0,0,0,0,0,0,0
